C:\Users\Bunny\Desktop\Data\IMG\center_2019_04_01_13_31_10_153.jpg,C:\Users\Bunny\Desktop\Data\IMG\left_2019_04_01_13_31_10_153.jpg,C:\Users\Bunny\Desktop\Data\IMG\right_2019_04_01_13_31_10_153.jpg,0,0,0,1.022168E-06
C:\Users\Bunny\Desktop\Data\IMG\center_2019_04_01_13_31_10_198.jpg,C:\Users\Bunny\Desktop\Data\IMG\left_2019_04_01_13_31_10_198.jpg,C:\Users\Bunny\Desktop\Data\IMG\right_2019_04_01_13_31_10_198.jpg,0,0,0,3.641083E-06
C:\Users\Bunny\Desktop\Data\IMG\center_2019_04_01_13_31_10_267.jpg,C:\Users\Bunny\Desktop\Data\IMG\left_2019_04_01_13_31_10_267.jpg,C:\Users\Bunny\Desktop\Data\IMG\right_2019_04_01_13_31_10_267.jpg,0,0,0,9.881268E-07
C:\Users\Bunny\Desktop\Data\IMG\center_2019_04_01_13_31_10_358.jpg,C:\Users\Bunny\Desktop\Data\IMG\left_2019_04_01_13_31_10_358.jpg,C:\Users\Bunny\Desktop\Data\IMG\right_2019_04_01_13_31_10_358.jpg,0,0,0,5.99111E-06
C:\Users\Bunny\Desktop\Data\IMG\center_2019_04_01_13_31_10_449.jpg,C:\Users\Bunny\Desktop\Data\IMG\left_2019_04_01_13_31_10_449.jpg,C:\Users\Bunny\Desktop\Data\IMG\right_2019_04_01_13_31_10_449.jpg,0,0,0,3.058709E-07
C:\Users\Bunny\Desktop\Data\IMG\center_2019_04_01_13_31_10_538.jpg,C:\Users\Bunny\Desktop\Data\IMG\left_2019_04_01_13_31_10_538.jpg,C:\Users\Bunny\Desktop\Data\IMG\right_2019_04_01_13_31_10_538.jpg,0,0,0,4.115582E-06
C:\Users\Bunny\Desktop\Data\IMG\center_2019_04_01_13_31_10_629.jpg,C:\Users\Bunny\Desktop\Data\IMG\left_2019_04_01_13_31_10_629.jpg,C:\Users\Bunny\Desktop\Data\IMG\right_2019_04_01_13_31_10_629.jpg,0,0,0,7.025938E-06
C:\Users\Bunny\Desktop\Data\IMG\center_2019_04_01_13_31_10_718.jpg,C:\Users\Bunny\Desktop\Data\IMG\left_2019_04_01_13_31_10_718.jpg,C:\Users\Bunny\Desktop\Data\IMG\right_2019_04_01_13_31_10_718.jpg,0,0,0,7.086571E-06
C:\Users\Bunny\Desktop\Data\IMG\center_2019_04_01_13_31_10_807.jpg,C:\Users\Bunny\Desktop\Data\IMG\left_2019_04_01_13_31_10_807.jpg,C:\Users\Bunny\Desktop\Data\IMG\right_2019_04_01_13_31_10_807.jpg,0,0,0,2.214358E-06
C:\Users\Bunny\Desktop\Data\IMG\center_2019_04_01_13_31_10_975.jpg,C:\Users\Bunny\Desktop\Data\IMG\left_2019_04_01_13_31_10_975.jpg,C:\Users\Bunny\Desktop\Data\IMG\right_2019_04_01_13_31_10_975.jpg,0,0.2999046,0,0.3520561
